period,org_code,org_name,nhs_region,type1_attendances_walkin,type1_attendances_booked,over_4hrs_walkin,over_4hrs_booked,waits_4_12hrs_dta,waits_12plus_hrs_dta,emergency_admissions_type1,other_emergency_admissions,type1_total_attendances,type1_total_over_4hrs,type1_pct_within_4hrs
2026-02-01,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND ,7474,693,3776,378,607,0,2082,408,8167,4154,49.1
2026-02-01,Y02532,MIRIAM MINOR EMERGENCY,NHS ENGLAND NORTH WEST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND LONDON,0,0,0,0,0,0,0,223,0,0,
2026-02-01,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND ,11506,0,3622,0,648,410,2068,1419,11506,3622,68.5
2026-02-01,RVJ,NORTH BRISTOL NHS TRUST,NHS ENGLAND SOUTH WEST ,8262,13,2947,5,441,430,3123,2197,8275,2952,64.3
2026-02-01,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8014,8,3569,2,667,378,1932,442,8022,3571,55.5
2026-02-01,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,NHS ENGLAND LONDON,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,4547,0,2496,0,209,39,1530,2315,4547,2496,45.1
2026-02-01,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND ,14103,316,5984,69,501,921,3550,1321,14419,6053,58.0
2026-02-01,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,NHS ENGLAND MIDLANDS ,9778,0,3806,0,349,856,2210,448,9778,3806,61.1
2026-02-01,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,23361,0,9499,0,807,1246,7263,2114,23361,9499,59.3
2026-02-01,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,9527,0,4382,0,576,874,5136,369,9527,4382,54.0
2026-02-01,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,9593,0,2664,0,45,0,3832,507,9593,2664,72.2
2026-02-01,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,NHS ENGLAND MIDLANDS ,11557,0,6776,0,147,1066,3075,3948,11557,6776,41.4
2026-02-01,NNJ14,OADBY,NHS ENGLAND MIDLANDS ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,NNJ15,OAKHAM,NHS ENGLAND MIDLANDS ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,L83087,OKEHAMPTON MEDICAL CENTRE,NHS ENGLAND SOUTH WEST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RNU,OXFORD HEALTH NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST ,10971,1442,3002,227,305,0,4780,4240,12413,3229,74.0
2026-02-01,NQT5H,PAULTON MEMORIAL HOSPITAL,NHS ENGLAND SOUTH WEST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,AQN04,PHL LYMINGTON UTC,NHS ENGLAND SOUTH EAST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,NHS ENGLAND SOUTH EAST ,9755,1759,3810,510,799,1039,2984,2316,11514,4320,62.5
2026-02-01,NTP11,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,NHS ENGLAND SOUTH EAST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,NTPAD,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,NHS ENGLAND SOUTH EAST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,Y02428,PUTNOE WALK IN CENTRE,NHS ENGLAND EAST OF ENGLAND ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST ,0,0,0,0,0,0,0,500,0,0,
2026-02-01,NV693,ROSSENDALE MIU & OOH,NHS ENGLAND NORTH WEST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST ,10031,1239,3586,274,783,52,2106,335,11270,3860,65.7
2026-02-01,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,NHS ENGLAND SOUTH WEST ,6239,0,3619,0,663,529,2409,1154,6239,3619,42.0
2026-02-01,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST ,11271,1389,5037,564,885,298,3096,1832,12660,5601,55.8
2026-02-01,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,NHS ENGLAND LONDON,24307,142,8072,51,836,1870,5783,718,24449,8123,66.8
2026-02-01,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,NHS ENGLAND LONDON,0,0,0,0,0,0,0,17,0,0,
2026-02-01,RA2,ROYAL SURREY NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST ,6229,833,2097,212,326,8,2204,994,7062,2309,67.3
2026-02-01,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST ,8288,0,3645,0,806,219,2553,2071,8288,3645,56.0
2026-02-01,RNZ,SALISBURY NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST ,4191,195,1871,84,395,152,1221,900,4386,1955,55.4
2026-02-01,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,NHS ENGLAND MIDLANDS ,10569,397,5128,202,711,448,2292,96,10966,5330,51.4
2026-02-01,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,4002,183,295,18,16,0,896,87,4185,313,92.5
2026-02-01,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8037,268,4030,117,935,4,2917,3294,8305,4147,50.1
2026-02-01,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,10460,0,3976,0,843,365,3533,287,10460,3976,62.0
2026-02-01,R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,NHS ENGLAND MIDLANDS ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,NLX,SIRONA CARE & HEALTH,NHS ENGLAND SOUTH WEST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,NQT5F,SKELMERSDALE WALK IN CENTRE,NHS ENGLAND NORTH WEST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,C83023,SLEAFORD MEDICAL GROUP,NHS ENGLAND MIDLANDS ,0,0,0,0,0,0,0,1,0,0,
2026-02-01,RH5,SOMERSET NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST ,10507,0,5465,0,552,196,2772,1570,10507,5465,48.0
2026-02-01,Y02615,SOUTH BIRMINGHAM GP WALK IN CENTRE,NHS ENGLAND MIDLANDS ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,7009,0,3486,0,372,35,2119,2448,7009,3486,50.3
2026-02-01,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,10371,842,5314,457,723,1,4199,1032,11213,5771,48.5
2026-02-01,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,7533,2,2135,0,508,87,1636,633,7535,2135,71.7
2026-02-01,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,0,0,0,0,0,0,0,131,0,0,
2026-02-01,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND LONDON,8228,299,2779,65,419,443,1782,532,8527,2844,66.6
2026-02-01,RWJ,STOCKPORT NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,7049,362,2811,107,528,380,2272,993,7411,2918,60.6
2026-02-01,NQTE4,SUMMERFIELD URGENT CARE CENTRE,NHS ENGLAND MIDLANDS ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,NHS ENGLAND SOUTH EAST ,9234,0,4051,0,485,593,2673,841,9234,4051,56.1
2026-02-01,RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,7536,340,4074,0,321,706,1527,259,7876,4074,48.3
2026-02-01,AAH,TETBURY HOSPITAL TRUST LTD,NHS ENGLAND SOUTH WEST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RBV,THE CHRISTIE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,0,0,0,0,0,0,0,795,0,0,
2026-02-01,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,8946,0,3063,0,2445,178,3265,2497,8946,3063,65.8
2026-02-01,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND LONDON,4633,0,1969,0,520,18,1622,64,4633,1969,57.5
2026-02-01,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,10171,0,4926,0,627,63,3666,2700,10171,4926,51.6
2026-02-01,Y03218,THE PINN UNREGISTERED WIC,NHS ENGLAND LONDON,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,NHS ENGLAND EAST OF ENGLAND ,7845,0,2063,0,522,286,1729,302,7845,2063,73.7
2026-02-01,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",NHS ENGLAND EAST OF ENGLAND ,6151,0,2827,0,720,131,1792,361,6151,2827,54.0
2026-02-01,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,0,0,0,0,0,0,0,34,0,0,
2026-02-01,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8770,0,2958,0,903,54,1557,440,8770,2958,66.3
2026-02-01,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,NHS ENGLAND MIDLANDS ,10403,106,3647,22,848,511,2387,4004,10509,3669,65.1
2026-02-01,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,NHS ENGLAND MIDLANDS ,9920,0,5562,0,475,1366,3299,1986,9920,5562,43.9
2026-02-01,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,0,0,0,0,0,0,0,151,0,0,
2026-02-01,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST ,6060,380,3014,161,156,74,1948,1132,6440,3175,50.7
2026-02-01,TOTAL,TOTAL,TOTAL,1271830,26175,519984,7252,77589,54649,355598,131085,1298005,527236,59.4
2026-02-01,G3P9C,TROWBRIDGE MINOR INJURIES UNIT,NHS ENGLAND SOUTH WEST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,NHS ENGLAND MIDLANDS ,16500,0,6701,0,581,1296,4575,1222,16500,6701,59.4
2026-02-01,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND LONDON,12017,522,3222,0,391,287,1260,320,12539,3222,74.3
2026-02-01,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST ,9612,0,2738,0,155,10,3412,1380,9612,2738,71.5
2026-02-01,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,30640,0,12820,0,2238,1923,9296,7490,30640,12820,58.2
2026-02-01,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST ,14252,0,5165,0,979,440,4346,1504,14252,5165,63.8
2026-02-01,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,NHS ENGLAND MIDLANDS ,11365,0,4797,0,50,14,871,340,11365,4797,57.8
2026-02-01,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST ,13434,0,6069,0,997,454,3880,2371,13434,6069,54.8
2026-02-01,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,16670,2365,8448,496,1032,727,3563,2061,19035,8944,53.0
2026-02-01,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,NHS ENGLAND MIDLANDS ,20546,0,8190,0,1192,727,6428,3708,20546,8190,60.1
2026-02-01,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,7794,128,3545,18,594,766,2900,874,7922,3563,55.0
2026-02-01,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NHS ENGLAND MIDLANDS ,13322,611,7432,339,1095,927,4405,1001,13933,7771,44.2
2026-02-01,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,NHS ENGLAND SOUTH WEST ,7807,0,4956,0,516,591,2736,1682,7807,4956,36.5
2026-02-01,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST ,24026,1426,10461,509,894,946,7713,1597,25452,10970,56.9
2026-02-01,RBK,WALSALL HEALTHCARE NHS TRUST,NHS ENGLAND MIDLANDS ,8964,52,3143,18,1048,331,3976,834,9016,3161,64.9
2026-02-01,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,5982,250,3167,80,491,825,1658,112,6232,3247,47.9
2026-02-01,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,NHS ENGLAND EAST OF ENGLAND ,7839,0,2151,0,486,29,4313,666,7839,2151,72.6
2026-02-01,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND ,7170,51,2577,0,428,546,1777,231,7221,2577,64.3
2026-02-01,ACH01,WHITSTABLE MEDICAL PRACTICE,NHS ENGLAND SOUTH EAST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RKE,WHITTINGTON HEALTH NHS TRUST,NHS ENGLAND LONDON,8193,0,2212,0,237,269,1335,34,8193,2212,73.0
2026-02-01,RY7,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,6951,0,3741,0,440,758,1975,1781,6951,3741,46.2
2026-02-01,NTV0W,WOKING WALK IN CENTRE,NHS ENGLAND SOUTH EAST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,NHS ENGLAND MIDLANDS ,12297,0,5555,0,786,1059,2848,800,12297,5555,54.8
2026-02-01,AJN,WORKINGTON HEALTH LIMITED,NHS ENGLAND NORTH EAST AND YORKSHIRE ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RRF,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",NHS ENGLAND NORTH WEST ,6165,0,3757,0,656,520,1724,379,6165,3757,39.1
2026-02-01,RLQ,WYE VALLEY NHS TRUST,NHS ENGLAND MIDLANDS ,5398,103,2364,20,456,234,1332,119,5501,2384,56.7
2026-02-01,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,10322,0,5614,0,760,406,4693,1506,10322,5614,45.6
